interpret,name,phonetic,sound
n.(英国)警察，警官,constable,[ˈkʌnstəbl],http://sound.yywz123.com/qsbdcword/c/constable.mp3
n.螺丝起子；伏特加橙汁鸡尾酒,screwdriver,[ˈskru:draɪvə(r)],http://sound.yywz123.com/qsbdcword/s/screwdriver.mp3
n.睡衣裤,pajamas,[pə'dʒɑ:məz],http://sound.yywz123.com/qsbdcword/p/pajamas.mp3
n.吱吱声，逃脱；vi.（发出）吱吱叫，侥幸通过；（俚）告密vt.以短促尖声发出,squeak,[skwi:k],http://sound.yywz123.com/qsbdcword/s/squeak.mp3
n.指手画脚，做手势，哑剧演员，哑剧；vi./vt.指手画脚的表演，用哑剧的形式表演,mime,[maɪm],http://sound.yywz123.com/qsbdcword/m/mime.mp3
vt.&vi.割（草、麦等），扫射，皱眉；n.草堆，谷物堆,mow,[məʊ],http://sound.yywz123.com/qsbdcword/m/mow.mp3
n.耳朵痛,earache,[ˈɪəreɪk],http://sound.yywz123.com/qsbdcword/e/earache.mp3
n.麻疹，风疹，包虫病，痧子,measles,[ˈmi:zlz],http://sound.yywz123.com/qsbdcword/m/measles.mp3
n.肉汁；轻易得来的钱，外快,gravy,[ˈgreɪvi],http://sound.yywz123.com/qsbdcword/g/gravy.mp3
n.殖民者，移民,colonist,[ˈkɒlənɪst],http://sound.yywz123.com/qsbdcword/c/colonist.mp3
n.熔岩，火山岩,lava,[ˈlɑ:və],http://sound.yywz123.com/qsbdcword/l/lava.mp3
n.蛤，蛤肉,clam,[klæm],http://sound.yywz123.com/qsbdcword/c/clam.mp3
n.小提琴；vi.拉提琴；不停拨弄，乱动,fiddle,[ˈfɪdl],http://sound.yywz123.com/qsbdcword/f/fiddle.mp3
n.A牌；发球得分；佼佼者；adj.杰出的,ace,[eɪs],http://sound.yywz123.com/qsbdcword/a/ace.mp3
n.花商；种花者,florist,[ˈflɒrɪst],http://sound.yywz123.com/qsbdcword/f/florist.mp3
n.竖琴；天琴座,harp,[hɑ:p],http://sound.yywz123.com/qsbdcword/h/harp.mp3
n.纱，纱线，纺线；奇闻漫谈，旅行轶事,yarn,[jɑ:n],http://sound.yywz123.com/qsbdcword/y/yarn.mp3
n.生面团；钱，现款,dough,[dəʊ],http://sound.yywz123.com/qsbdcword/d/dough.mp3
n.跳栏，栏架；障碍，困难；vi.进行跨栏赛,hurdle,[ˈhɜ:dl],http://sound.yywz123.com/qsbdcword/h/hurdle.mp3
n.糖浆，糖水,syrup,[ˈsɪrəp],http://sound.yywz123.com/qsbdcword/s/syrup.mp3
n.精神病专家；精神病医师,psychiatrist,[saɪˈkaɪətrɪst],http://sound.yywz123.com/qsbdcword/p/psychiatrist.mp3
n.代数学,algebra,[ˈældʒɪbrə],http://sound.yywz123.com/qsbdcword/a/algebra.mp3
n.收据；传票；凭单，凭证,voucher,[ˈvaʊtʃə(r)],http://sound.yywz123.com/qsbdcword/v/voucher.mp3
adj.毛皮的；似毛皮的；毛皮制的,furry,[ˈfɜ:ri],http://sound.yywz123.com/qsbdcword/f/furry.mp3
n.首字母简略词，简称,acronym,[ˈækrənɪm],http://sound.yywz123.com/qsbdcword/a/acronym.mp3
n.广场，市场,plaza,[ˈplɑ:zə],http://sound.yywz123.com/qsbdcword/p/plaza.mp3
n.(因食物、药物等而引起的)过敏症,allergy,[ˈælədʒi],http://sound.yywz123.com/qsbdcword/a/allergy.mp3
vt.娶，嫁，与…结婚；vi.结婚；娶；嫁,wed,[wed],http://sound.yywz123.com/qsbdcword/w/wed.mp3
vt.分成两半，平分；减少到一半,halve,[hɑ:v],http://sound.yywz123.com/qsbdcword/h/halve.mp3
vi.摇摆地走；n.摇摆的走路(样子),waddle,[ˈwɒdl],http://sound.yywz123.com/qsbdcword/w/waddle.mp3
n.长毛象；adj.长毛象似的，巨大的,mammoth,[ˈmæməθ],http://sound.yywz123.com/qsbdcword/m/mammoth.mp3
n.接种疫苗，种痘,vaccination,[ˌvæksɪ'neɪʃn],http://sound.yywz123.com/qsbdcword/v/vaccination.mp3
n.平房，周围有阳台的木造小平房,bungalow,[ˈbʌŋgələʊ],http://sound.yywz123.com/qsbdcword/b/bungalow.mp3
adj.有节奏的，有韵律的,rhythmic,[ˈrɪðmɪk],http://sound.yywz123.com/qsbdcword/r/rhythmic.mp3
adj.火山的；象火山的；由火山引起的,volcanic,[vɒlˈkænɪk],http://sound.yywz123.com/qsbdcword/v/volcanic.mp3
n.药膏，油膏，软膏,ointment,[ˈɔɪntmənt],http://sound.yywz123.com/qsbdcword/o/ointment.mp3
adj.有水的，水汪汪的；湿的，湿润的,watery,[ˈwɔ:təri],http://sound.yywz123.com/qsbdcword/w/watery.mp3
n.水疱；(油漆等的)气泡；vt.(使)起泡；痛打；猛烈抨击；vi. 起水泡,blister,[ˈblɪstə(r)],http://sound.yywz123.com/qsbdcword/b/blister.mp3
"n.扭伤,扭筋；vt.扭伤",sprain,[spreɪn],http://sound.yywz123.com/qsbdcword/s/sprain.mp3
adv.有求知欲地；好问地；奇特地,curiously,['kjʊərɪəslɪ],http://sound.yywz123.com/qsbdcword/c/curiously.mp3
n.烃，碳氢化合物,hydrocarbon,[ˌhaɪdrəˈkɑ:bən],http://sound.yywz123.com/qsbdcword/h/hydrocarbon.mp3
n.同位素,isotope,[ˈaɪsətəʊp],http://sound.yywz123.com/qsbdcword/i/isotope.mp3
n.镁,magnesium,[mægˈni:ziəm],http://sound.yywz123.com/qsbdcword/m/magnesium.mp3
n.中子,neutron,[ˈnju:trɒn],http://sound.yywz123.com/qsbdcword/n/neutron.mp3
