interpret,name,phonetic,sound
pron.（主格）他,he,[hi],http://sound.yywz123.com/qsbdcword/h/he.mp3
vt.让，容许；使得；假设,let,[let],http://sound.yywz123.com/qsbdcword/l/let.mp3
n.(pl.men)人；人类(单数，不加冠词)；男人,man,[mæn],http://sound.yywz123.com/qsbdcword/m/man.mp3
n.图片，照片；vt.描写；想象,picture,[ˈpɪktʃə(r)],http://sound.yywz123.com/qsbdcword/p/picture.mp3
n.（一）排，（一）行；vt.划（船等）；vi.划船,row,[rəʊ],http://sound.yywz123.com/qsbdcword/r/row.mp3
n.学生；研究生；学者,student,[ˈstju:dnt],http://sound.yywz123.com/qsbdcword/s/student.mp3
adv.也，还；太；过分,too,[tu:],http://sound.yywz123.com/qsbdcword/t/too.mp3
n.用途，利用；vt. 利用；耗费；vi. 使用，运用,use,[ju:s],http://sound.yywz123.com/qsbdcword/u/use.mp3
n.教室，课堂,classroom,[ˈklɑ:sru:m],http://sound.yywz123.com/qsbdcword/c/classroom.mp3
adj./adv.全；pron./n.全部,all,[ɔ:l],http://sound.yywz123.com/qsbdcword/a/all.mp3
vi.来，到来；变得；到达,come,[kʌm],http://sound.yywz123.com/qsbdcword/c/come.mp3
n.床，床位；圃；河床,bed,[bed],http://sound.yywz123.com/qsbdcword/b/bed.mp3
adj.黑色的；n.黑色；黑人,black,[blæk],http://sound.yywz123.com/qsbdcword/b/black.mp3
adj.蓝的；阴郁的；n.蓝色,blue,[blu:],http://sound.yywz123.com/qsbdcword/b/blue.mp3
n.朋友；支持者；同伴,friend,[frend],http://sound.yywz123.com/qsbdcword/f/friend.mp3
num.十五，十五个,fifteen,[ˌfɪfˈti:n],http://sound.yywz123.com/qsbdcword/f/fifteen.mp3
vi.去，离开；移动；运行,go,[gəʊ],http://sound.yywz123.com/qsbdcword/g/go.mp3
adj.绿色的；未成熟的；环保的；n.绿色；植物；vi.变绿；vt.使…变绿,green,[gri:n],http://sound.yywz123.com/qsbdcword/g/green.mp3
adv.回家，在家；n.家,home,[həʊm],http://sound.yywz123.com/qsbdcword/h/home.mp3
pron.（宾格）她；她的（所有物）,her,[hə(r)],http://sound.yywz123.com/qsbdcword/h/her.mp3
n.柠檬,lemon,[ˈlemən],http://sound.yywz123.com/qsbdcword/l/lemon.mp3
adv.向上，...起来；...完；起床；prep.向上,up,[ʌp],http://sound.yywz123.com/qsbdcword/u/up.mp3
adv.（表示否定）不，不是,no,[nəʊ],http://sound.yywz123.com/qsbdcword/n/no.mp3
adv.不，没,not,[nɒt],http://sound.yywz123.com/qsbdcword/n/not.mp3
n.橙子，桔子；adj.橙色的，桔色的,orange,[ˈɒrɪndʒ],http://sound.yywz123.com/qsbdcword/o/orange.mp3
n.秋天，秋季,autumn,[ˈɔ:təm],http://sound.yywz123.com/qsbdcword/a/autumn.mp3
pron.那，那个,that,[ðæt],http://sound.yywz123.com/qsbdcword/t/that.mp3
art.这（那）个，这（那）些（指特定的人或物）,the,[ðə],http://sound.yywz123.com/qsbdcword/t/the.mp3
pron.什么；adj.多么，何等；什么；尽可能多的,what,[wɒt],http://sound.yywz123.com/qsbdcword/w/what.mp3
n.家；家庭；民族；家族,family,[ˈfæməli],http://sound.yywz123.com/qsbdcword/f/family.mp3
n.父亲；创始人，发明者；（Father）神父,father,[ˈfɑ:ðə(r)],http://sound.yywz123.com/qsbdcword/f/father.mp3
n.外观；神色；vi.看；看起来；vt.看；期待；注意,look,[lʊk],http://sound.yywz123.com/qsbdcword/l/look.mp3
vi.成为；变得；到达；vt.使得；获得；受到；变成,get,[get],http://sound.yywz123.com/qsbdcword/g/get.mp3
n.母亲，妈妈,mother,[ˈmʌðə(r)],http://sound.yywz123.com/qsbdcword/m/mother.mp3
n.月亮,moon,[mu:n],http://sound.yywz123.com/qsbdcword/m/moon.mp3
n.自行车，脚踏车，单车,bicycle,[ˈbaɪsɪkl],http://sound.yywz123.com/qsbdcword/b/bicycle.mp3
n. 鸡蛋；蛋，卵；卵形物,egg,[eg],http://sound.yywz123.com/qsbdcword/e/egg.mp3
n.吉普车；小型越野车,jeep,[dʒi:p],http://sound.yywz123.com/qsbdcword/j/jeep.mp3
n.钢笔,pen,[pen],http://sound.yywz123.com/qsbdcword/p/pen.mp3
n.尺子，直尺；统治者，支配者,ruler,[ˈru:lə(r)],http://sound.yywz123.com/qsbdcword/r/ruler.mp3
pron.你，你们,you,[ju],http://sound.yywz123.com/qsbdcword/y/you.mp3
n.杯子，小杯子；(一)杯；奖杯,cup,[kʌp],http://sound.yywz123.com/qsbdcword/c/cup.mp3
n.公共汽车,bus,[bʌs],http://sound.yywz123.com/qsbdcword/b/bus.mp3
n.外衣，外套；上衣,coat,[kəʊt],http://sound.yywz123.com/qsbdcword/c/coat.mp3
n.男孩,boy,[bɔɪ],http://sound.yywz123.com/qsbdcword/b/boy.mp3
n.椅子；（会议的）主席；vt.当...的主席，主持,chair,[tʃeə(r)],http://sound.yywz123.com/qsbdcword/c/chair.mp3
n.中国,China,['tʃaɪnə],http://sound.yywz123.com/qsbdcword/C/China.mp3
n. 书桌，课桌；办公桌,desk,[desk],http://sound.yywz123.com/qsbdcword/d/desk.mp3
n.英语；adj.英国的；英国人的,English,[ˈɪŋglɪʃ],http://sound.yywz123.com/qsbdcword/E/English.mp3
n.服装；女（童）服；连衣裙；v.穿衣,dress,[dres],http://sound.yywz123.com/qsbdcword/d/dress.mp3
num.八，八个,eight,[eɪt],http://sound.yywz123.com/qsbdcword/e/eight.mp3
prep.从；从…起；从…来；由于，出于,from,[frəm],http://sound.yywz123.com/qsbdcword/f/from.mp3
n.脂肪；肥肉；（食用的）动植物油；adj.胖的；油腻的,fat,[fæt],http://sound.yywz123.com/qsbdcword/f/fat.mp3
n.女孩子，姑娘；女儿,girl,[gɜ:l],http://sound.yywz123.com/qsbdcword/g/girl.mp3
n.头；顶部；领导，首脑；v.主管；位于...顶部,head,[hed],http://sound.yywz123.com/qsbdcword/h/head.mp3
n.母鸡，雌禽,hen,[hen],http://sound.yywz123.com/qsbdcword/h/hen.mp3
n.帽子（一般指带边的）,hat,[hæt],http://sound.yywz123.com/qsbdcword/h/hat.mp3
prep.在…里（内，上）；用…（表示）；adv.进，入,in,[ɪn],http://sound.yywz123.com/qsbdcword/i/in.mp3
n.地图；图；天体图,map,[mæp],http://sound.yywz123.com/qsbdcword/m/map.mp3
（=is not）[口]不是,isn't,[ˈɪznt],http://sound.yywz123.com/qsbdcword/i/isn't.mp3
vt.开，打开,open,[ˈəʊpən],http://sound.yywz123.com/qsbdcword/o/open.mp3
n.耳朵,ear,[ɪə(r)],http://sound.yywz123.com/qsbdcword/e/ear.mp3
v.忍受；站，站立,stand,[stænd],http://sound.yywz123.com/qsbdcword/s/stand.mp3
n.眼睛；vt.看，注视,eye,[aɪ],http://sound.yywz123.com/qsbdcword/e/eye.mp3
n.苹果，苹果树,apple,[ˈæpl],http://sound.yywz123.com/qsbdcword/a/apple.mp3
n.脸，面孔；vt.面对，面向；vi.向；朝,face,[feɪs],http://sound.yywz123.com/qsbdcword/f/face.mp3
vt.拿，拿走,take,[teɪk],http://sound.yywz123.com/qsbdcword/t/take.mp3
n.嘴；口,mouth,[maʊθ],http://sound.yywz123.com/qsbdcword/m/mouth.mp3
